STREET,LON,LAT
N STAFFORD PL ,-116.3647244,43.6623327
E CHINDEN BLVD ,-116.3642031,43.6626954
N ICE SPRINGS WAY,-116.3641911,43.6495791
N HEATHROW CT ,-116.3641137,43.6617213
N CASTLE CREEK PL,-116.3640954,43.653687
N CAMAS CREEK AVE,-116.3631699,43.6507992
N QUEENSBURY PL ,-116.3630417,43.6608747
W KETTLE CREEK DR,-116.3628147,43.6521159
W SEDONA DR ,-116.3625527,43.6541429
W KENSINGTON CT ,-116.3619762,43.6584789
W BARCLAY ST ,-116.3609728,43.6577063
N ROSEPOINT PL ,-116.3609545,43.6587901
W TALON CREEK DR,-116.3604156,43.6544488
N ROTHMANS AVE ,-116.3601599,43.6587144
W PAVILION ST ,-116.3600462,43.6624651
N SPARKFORD WAY ,-116.3599344,43.6623381
N BENNINGTON WAY ,-116.35986,43.6603047
N MCCARTHY AVE ,-116.3592449,43.6565501
N ATTLEBORO PL ,-116.3591429,43.64543
N CHELMSFORD AVE ,-116.3591229,43.6477396
N EBBETTS AVE ,-116.3591004,43.6533431
N COSWORTH PL ,-116.3588655,43.6585427
W GUINNESS CT ,-116.3584886,43.6594795
N BUCKLEY PL ,-116.3584516,43.6623051
W HARTFORD DR ,-116.3582321,43.6456674
